,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-02-11,-4061.8566881656247,-5632.760546559851,7165.678624157031,-4061.8566881656247,-4061.8566881656247,4837.072477825455,4837.072477825455,4837.072477825455,-27.558388754510634,-27.558388754510634,-27.558388754510634,4864.630866579966,4864.630866579966,4864.630866579966,0.0,0.0,0.0,775.2157896598305
1,2020-02-12,-3960.5099534674346,-5026.309891017404,7724.380736709554,-3960.5099534674346,-3960.5099534674346,5378.91924274077,5378.91924274077,5378.91924274077,108.63381918242789,108.63381918242789,108.63381918242789,5270.285423558342,5270.285423558342,5270.285423558342,0.0,0.0,0.0,1418.4092892733352
2,2020-02-13,-3859.163218769244,-4592.732526436046,8389.715410926248,-3859.163218769244,-3859.163218769244,5634.38265910723,5634.38265910723,5634.38265910723,-34.963253068728605,-34.963253068728605,-34.963253068728605,5669.345912175959,5669.345912175959,5669.345912175959,0.0,0.0,0.0,1775.2194403379863
3,2020-02-14,-3757.8164840710538,-4615.658461104256,8790.356613420723,-3757.8164840710538,-3757.8164840710538,6064.005974196402,6064.005974196402,6064.005974196402,6.24655366498518,6.24655366498518,6.24655366498518,6057.759420531417,6057.759420531417,6057.759420531417,0.0,0.0,0.0,2306.1894901253486
4,2020-02-15,-3656.4697493728636,-3961.8673193886893,9204.819374861207,-3656.4697493728636,-3656.4697493728636,6399.590287412444,6399.590287412444,6399.590287412444,-32.19119411940282,-32.19119411940282,-32.19119411940282,6431.781481531847,6431.781481531847,6431.781481531847,0.0,0.0,0.0,2743.1205380395804
5,2020-02-16,-3555.123014674673,-3323.685568999362,9798.524432186146,-3555.123014674673,-3555.123014674673,6728.311388980837,6728.311388980837,6728.311388980837,-59.742171756127576,-59.742171756127576,-59.742171756127576,6788.053560736966,6788.053560736966,6788.053560736966,0.0,0.0,0.0,3173.1883743061644
6,2020-02-17,-3453.776279976483,-2654.238081403534,9856.625184536793,-3453.776279976483,-3453.776279976483,7163.245236171213,7163.245236171213,7163.245236171213,39.574634851305554,39.574634851305554,39.574634851305554,7123.670601319906,7123.670601319906,7123.670601319906,0.0,0.0,0.0,3709.4689561947303
7,2020-02-18,-3352.4295452782926,-2499.738094072011,10902.283892589476,-3352.4295452782926,-3352.4295452782926,7408.678615629964,7408.678615629964,7408.678615629964,-27.558388754405552,-27.558388754405552,-27.558388754405552,7436.23700438437,7436.23700438437,7436.23700438437,0.0,0.0,0.0,4056.2490703516714
8,2020-02-19,-3251.082810580102,-1545.328762397449,11668.585406333314,-3251.082810580102,-3251.082810580102,7832.543541577356,7832.543541577356,7832.543541577356,108.63381918229065,108.63381918229065,108.63381918229065,7723.909722395066,7723.909722395066,7723.909722395066,0.0,0.0,0.0,4581.460730997254
9,2020-02-20,-3149.736075881912,-2118.471439773059,11077.23700352833,-3149.736075881912,-3149.736075881912,7950.464223779152,7950.464223779152,7950.464223779152,-34.96325306812295,-34.96325306812295,-34.96325306812295,7985.427476847275,7985.427476847275,7985.427476847275,0.0,0.0,0.0,4800.72814789724
10,2020-02-21,-3048.3893411837216,-928.5832466861935,11574.956906936992,-3048.3893411837216,-3048.3893411837216,8226.372023297843,8226.372023297843,8226.372023297843,6.246553664875051,6.246553664875051,6.246553664875051,8220.125469632967,8220.125469632967,8220.125469632967,0.0,0.0,0.0,5177.982682114121
11,2020-02-22,-2947.0426064855305,-688.061118333145,11942.521643733735,-2947.0426064855305,-2947.0426064855305,8395.74413731471,8395.74413731471,8395.74413731471,-32.1911941192832,-32.1911941192832,-32.1911941192832,8427.935331433993,8427.935331433993,8427.935331433993,0.0,0.0,0.0,5448.701530829179
12,2020-02-23,-2845.695871787341,-554.2337585201868,11985.156182251081,-2845.695871787341,-2845.695871787341,8549.628258186898,8549.628258186898,8549.628258186898,-59.74217175580466,-59.74217175580466,-59.74217175580466,8609.370429942703,8609.370429942703,8609.370429942703,0.0,0.0,0.0,5703.932386399558
13,2020-02-24,-2744.3491370891506,-625.1398468308264,12088.690368964073,-2744.3491370891506,-2744.3491370891506,8805.071670562778,8805.071670562778,8805.071670562778,39.574634851114915,39.574634851114915,39.574634851114915,8765.497035711664,8765.497035711664,8765.497035711664,0.0,0.0,0.0,6060.722533473628
14,2020-02-25,-2643.00240239096,83.35196213531735,12239.523866977177,-2643.00240239096,-2643.00240239096,8870.333815312591,8870.333815312591,8870.333815312591,-27.558388754400383,-27.558388754400383,-27.558388754400383,8897.892204066991,8897.892204066991,8897.892204066991,0.0,0.0,0.0,6227.331412921631
