,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-02-11,1582.418611,1495.5585425026368,1611.5963980572806,1582.418611,1582.418611,-27.20976995811737,-27.20976995811737,-27.20976995811737,5.101488579722296,5.101488579722296,5.101488579722296,-32.31125853783966,-32.31125853783966,-32.31125853783966,0.0,0.0,0.0,1555.2088410418826
1,2020-02-12,1583.3371322539683,1497.3115280167474,1609.2421610127528,1583.3371322539683,1583.3371322539683,-28.700184573210958,-28.700184573210958,-28.700184573210958,4.795698711978727,4.795698711978727,4.795698711978727,-33.495883285189684,-33.495883285189684,-33.495883285189684,0.0,0.0,0.0,1554.6369476807574
2,2020-02-13,1584.2556535079366,1495.8669083016282,1615.1532164572584,1584.2556535079366,1584.2556535079366,-28.52268583035229,-28.52268583035229,-28.52268583035229,5.995762585996521,5.995762585996521,5.995762585996521,-34.51844841634881,-34.51844841634881,-34.51844841634881,0.0,0.0,0.0,1555.7329676775844
3,2020-02-14,1585.174174761905,1497.840688299769,1618.378746725409,1585.174174761905,1585.174174761905,-30.150153064383918,-30.150153064383918,-30.150153064383918,5.209507792777914,5.209507792777914,5.209507792777914,-35.35966085716183,-35.35966085716183,-35.35966085716183,0.0,0.0,0.0,1555.0240216975212
4,2020-02-18,1588.848259777778,1497.0710322436123,1612.3824384876498,1588.848259777778,1588.848259777778,-31.582447630862298,-31.582447630862298,-31.582447630862298,5.101488579726298,5.101488579726298,5.101488579726298,-36.68393621058859,-36.68393621058859,-36.68393621058859,0.0,0.0,0.0,1557.2658121469156
5,2020-02-19,1589.766781031746,1501.2224910077903,1622.1789722342864,1589.766781031746,1589.766781031746,-31.695520606426083,-31.695520606426083,-31.695520606426083,4.795698711984005,4.795698711984005,4.795698711984005,-36.49121931841009,-36.49121931841009,-36.49121931841009,0.0,0.0,0.0,1558.07126042532
6,2020-02-20,1590.6853022857144,1504.0490392245804,1621.4354515951986,1590.6853022857144,1590.6853022857144,-30.10523615904403,-30.10523615904403,-30.10523615904403,5.995762586001071,5.995762586001071,5.995762586001071,-36.1009987450451,-36.1009987450451,-36.1009987450451,0.0,0.0,0.0,1560.5800661266703
7,2020-02-21,1591.6038235396827,1501.7402986075376,1617.7412270823488,1591.6038235396827,1591.6038235396827,-30.318025404780883,-30.318025404780883,-30.318025404780883,5.209507792767847,5.209507792767847,5.209507792767847,-35.52753319754873,-35.52753319754873,-35.52753319754873,0.0,0.0,0.0,1561.2857981349018
8,2020-02-24,1594.3593873015873,1507.9152042498995,1620.967090019513,1594.3593873015873,1594.3593873015873,-30.5808443194725,-30.5808443194725,-30.5808443194725,2.3276220296250263,2.3276220296250263,2.3276220296250263,-32.90846634909752,-32.90846634909752,-32.90846634909752,0.0,0.0,0.0,1563.7785429821147
9,2020-02-25,1595.2779085555555,1510.234909310804,1624.9046331209863,1595.2779085555555,1595.2779085555555,-26.716307293319,-26.716307293319,-26.716307293319,5.101488579722556,5.101488579722556,5.101488579722556,-31.817795873041558,-31.817795873041558,-31.817795873041558,0.0,0.0,0.0,1568.5616012622365
10,2020-02-26,1596.196429809524,1509.2632185446537,1630.917198307035,1596.196429809524,1596.196429809524,-25.86840781174811,-25.86840781174811,-25.86840781174811,4.795698711981531,4.795698711981531,4.795698711981531,-30.664106523729643,-30.664106523729643,-30.664106523729643,0.0,0.0,0.0,1570.328021997776
11,2020-02-27,1597.1149510634923,1515.5145600475932,1630.638319728271,1597.1149510634923,1597.1149510634923,-23.480267398732998,-23.480267398732998,-23.480267398732998,5.995762585987563,5.995762585987563,5.995762585987563,-29.476029984720565,-29.476029984720565,-29.476029984720565,0.0,0.0,0.0,1573.6346836647592
12,2020-02-28,1598.0334723174603,1519.4231703570504,1635.0463851334318,1598.0334723174603,1598.0334723174603,-23.072216478444634,-23.072216478444634,-23.072216478444634,5.2095077927577815,5.2095077927577815,5.2095077927577815,-28.281724271202417,-28.281724271202417,-28.281724271202417,0.0,0.0,0.0,1574.9612558390156
13,2020-03-02,1600.7890360793654,1525.03907392518,1639.2431949567226,1600.7890360793654,1600.7890360793654,-22.58985014401246,-22.58985014401246,-22.58985014401246,2.3276220296462293,2.3276220296462293,2.3276220296462293,-24.91747217365869,-24.91747217365869,-24.91747217365869,0.0,0.0,0.0,1578.199185935353
14,2020-03-03,1601.7075573333336,1525.4477743966236,1642.8617592195285,1601.7075573333336,1601.7075573333336,-18.838554340786125,-18.838554340786125,-18.838554340786125,5.101488579718816,5.101488579718816,5.101488579718816,-23.940042920504943,-23.940042920504943,-23.940042920504943,0.0,0.0,0.0,1582.8690029925474
15,2020-03-04,1602.6260785873017,1530.0688408031954,1643.027909628468,1602.6260785873017,1602.6260785873017,-18.26481858153417,-18.26481858153417,-18.26481858153417,4.795698711980072,4.795698711980072,4.795698711980072,-23.06051729351424,-23.06051729351424,-23.06051729351424,0.0,0.0,0.0,1584.3612600057675
16,2020-03-05,1603.54459984127,1531.3514819887757,1644.9043047891842,1603.54459984127,1603.54459984127,-16.29167259446219,-16.29167259446219,-16.29167259446219,5.995762585990602,5.995762585990602,5.995762585990602,-22.287435180452793,-22.287435180452793,-22.287435180452793,0.0,0.0,0.0,1587.2529272468078
17,2020-03-06,1604.4631210952382,1525.3473794202137,1645.0624964661727,1604.4631210952382,1604.4631210952382,-16.41458056521867,-16.41458056521867,-16.41458056521867,5.209507792752955,5.209507792752955,5.209507792752955,-21.624088357971626,-21.624088357971626,-21.624088357971626,0.0,0.0,0.0,1588.0485405300196
18,2020-03-09,1607.218684857143,1533.0673564775104,1645.8822035702858,1607.218684857143,1607.218684857143,-17.915557989285627,-17.915557989285627,-17.915557989285627,2.32762202959862,2.32762202959862,2.32762202959862,-20.243180018884246,-20.243180018884246,-20.243180018884246,0.0,0.0,0.0,1589.3031268678574
19,2020-03-10,1608.1372061111113,1534.4177113702503,1653.9934267436583,1608.1372061111113,1608.1372061111113,-14.84094342486814,-14.84094342486814,-14.84094342486814,5.101488579715075,5.101488579715075,5.101488579715075,-19.942432004583218,-19.942432004583218,-19.942432004583218,0.0,0.0,0.0,1593.2962626862432
20,2020-03-11,1609.0557273650795,1530.847489566781,1650.458696224759,1609.0557273650795,1609.0557273650795,-14.891408822501397,-14.891408822501397,-14.891408822501397,4.795698711977597,4.795698711977597,4.795698711977597,-19.68710753447899,-19.68710753447899,-19.68710753447899,0.0,0.0,0.0,1594.164318542578
21,2020-03-12,1609.9742486190476,1536.7246908528882,1657.200525616502,1609.9742486190476,1609.9742486190476,-13.454255502203125,-13.454255502203125,-13.454255502203125,5.995762585992887,5.995762585992887,5.995762585992887,-19.45001808819601,-19.45001808819601,-19.45001808819601,0.0,0.0,0.0,1596.5199931168445
22,2020-03-13,1610.892769873016,1534.6151238638843,1652.09609736228,1610.892769873016,1610.892769873016,-13.99100921245708,-13.99100921245708,-13.99100921245708,5.209507792737648,5.209507792737648,5.209507792737648,-19.20051700519473,-19.20051700519473,-19.20051700519473,0.0,0.0,0.0,1596.901760660559
23,2020-03-16,1613.6483336349208,1541.0978002344223,1654.824696623132,1613.6483336349208,1613.6483336349208,-15.709578561068593,-15.709578561068593,-15.709578561068593,2.32762202960975,2.32762202960975,2.32762202960975,-18.037200590678342,-18.037200590678342,-18.037200590678342,0.0,0.0,0.0,1597.9387550738522
