,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-02-11,3072.1614404169923,2952.2921479228485,3228.120761421008,3072.1614404169923,3072.1614404169923,15.76698372984778,15.76698372984778,15.76698372984778,-50.974414377400464,-50.974414377400464,-50.974414377400464,66.74139810724826,66.74139810724826,66.74139810724826,0.0,0.0,0.0,3087.92842414684
1,2020-02-12,3067.642642426454,2946.6893187628875,3230.337552326354,3067.642642426454,3067.642642426454,20.549364223641817,20.549364223641817,20.549364223641817,-50.57348363290661,-50.57348363290661,-50.57348363290661,71.12284785654843,71.12284785654843,71.12284785654843,0.0,0.0,0.0,3088.192006650096
2,2020-02-13,3063.1238444359155,2941.0304362345923,3225.2527300101265,3063.1238444359155,3063.1238444359155,22.61151838766029,22.61151838766029,22.61151838766029,-52.02812504295737,-52.02812504295737,-52.02812504295737,74.63964343061767,74.63964343061767,74.63964343061767,0.0,0.0,0.0,3085.735362823576
3,2020-02-14,3058.605046445378,2937.832053809679,3223.0562377448587,3058.605046445378,3058.605046445378,25.853042113043927,25.853042113043927,25.853042113043927,-51.366140116934936,-51.366140116934936,-51.366140116934936,77.21918222997887,77.21918222997887,77.21918222997887,0.0,0.0,0.0,3084.458088558422
4,2020-02-18,3040.5298544832253,2932.826533052981,3204.7475079746046,3040.5298544832253,3040.5298544832253,26.242942714691697,26.242942714691697,26.242942714691697,-50.97441437741867,-50.97441437741867,-50.97441437741867,77.21735709211038,77.21735709211038,77.21735709211038,0.0,0.0,0.0,3066.772797197917
5,2020-02-19,3036.011056492687,2915.5010186728246,3195.5290289344603,3036.011056492687,3036.011056492687,23.966449329925464,23.966449329925464,23.966449329925464,-50.57348363290421,-50.57348363290421,-50.57348363290421,74.53993296282968,74.53993296282968,74.53993296282968,0.0,0.0,0.0,3059.977505822613
6,2020-02-20,3031.492258502149,2917.3999825395217,3191.706212453543,3031.492258502149,3031.492258502149,18.783798607799262,18.783798607799262,18.783798607799262,-52.02812504315744,-52.02812504315744,-52.02812504315744,70.8119236509567,70.8119236509567,70.8119236509567,0.0,0.0,0.0,3050.2760571099484
7,2020-02-21,3026.973460511611,2901.0667606111288,3178.3707872613895,3026.973460511611,3026.973460511611,14.707006493711669,14.707006493711669,14.707006493711669,-51.36614011680814,-51.36614011680814,-51.36614011680814,66.07314661051981,66.07314661051981,66.07314661051981,0.0,0.0,0.0,3041.6804670053225
8,2020-02-24,3013.4170665399965,2865.173756844209,3142.626623620257,3013.4170665399965,3013.4170665399965,-5.817860898264326,-5.817860898264326,-5.817860898264326,-52.248137090801805,-52.248137090801805,-52.248137090801805,46.43027619253748,46.43027619253748,46.43027619253748,0.0,0.0,0.0,3007.599205641732
9,2020-02-25,3008.898268549458,2859.594289245652,3133.0387742205025,3008.898268549458,3008.898268549458,-12.615236382759509,-12.615236382759509,-12.615236382759509,-50.97441437736723,-50.97441437736723,-50.97441437736723,38.35917799460772,38.35917799460772,38.35917799460772,0.0,0.0,0.0,2996.2830321666984
10,2020-02-26,3004.3794705589203,2841.123042413361,3113.637696794901,3004.3794705589203,3004.3794705589203,-20.872997384390136,-20.872997384390136,-20.872997384390136,-50.5734836329066,-50.5734836329066,-50.5734836329066,29.700486248516462,29.700486248516462,29.700486248516462,0.0,0.0,0.0,2983.50647317453
11,2020-02-27,2999.8606725683817,2833.6762931286435,3108.7432081863135,2999.8606725683817,2999.8606725683817,-31.454139834100662,-31.454139834100662,-31.454139834100662,-52.02812504294105,-52.02812504294105,-52.02812504294105,20.57398520884038,20.57398520884038,20.57398520884038,0.0,0.0,0.0,2968.406532734281
12,2020-02-28,2995.341874577844,2811.6722129397813,3096.542610725485,2995.341874577844,2995.341874577844,-40.25921832520286,-40.25921832520286,-40.25921832520286,-51.36614011668133,-51.36614011668133,-51.36614011668133,11.106921791478475,11.106921791478475,11.106921791478475,0.0,0.0,0.0,2955.0826562526413
13,2020-03-02,2981.785480606229,2774.108904114365,3043.794267682903,2981.785480606229,2981.785480606229,-70.24687998007555,-70.24687998007555,-70.24687998007555,-52.24813709105487,-52.24813709105487,-52.24813709105487,-17.998742889020683,-17.998742889020683,-17.998742889020683,0.0,0.0,0.0,2911.5386006261538
14,2020-03-03,2977.2666826156915,2764.205149456754,3030.6400703243494,2977.2666826156915,2977.2666826156915,-78.45717210428722,-78.45717210428722,-78.45717210428722,-50.97441437731581,-50.97441437731581,-50.97441437731581,-27.48275772697142,-27.48275772697142,-27.48275772697142,0.0,0.0,0.0,2898.8095105114044
15,2020-03-04,2972.747884625153,2747.171621735148,3018.8251491990864,2972.747884625153,2972.747884625153,-87.2096706097751,-87.2096706097751,-87.2096706097751,-50.57348363290367,-50.57348363290367,-50.57348363290367,-36.636186976871414,-36.636186976871414,-36.636186976871414,0.0,0.0,0.0,2885.538214015378
16,2020-03-05,2968.229086634615,2731.070072318193,3016.898775651293,2968.229086634615,2968.229086634615,-97.36158700837066,-97.36158700837066,-97.36158700837066,-52.02812504299322,-52.02812504299322,-52.02812504299322,-45.333461965377445,-45.333461965377445,-45.333461965377445,0.0,0.0,0.0,2870.8674996262444
17,2020-03-06,2963.7102886440766,2717.93581942793,2994.4451241399106,2963.7102886440766,2963.7102886440766,-104.82297660715204,-104.82297660715204,-104.82297660715204,-51.366140116685386,-51.366140116685386,-51.366140116685386,-53.45683649046667,-53.45683649046667,-53.45683649046667,0.0,0.0,0.0,2858.8873120369244
18,2020-03-09,2950.1538946724622,2686.6600659104747,2958.191197158295,2950.1538946724622,2950.1538946724622,-125.60906131835183,-125.60906131835183,-125.60906131835183,-52.24813709052309,-52.24813709052309,-52.24813709052309,-73.36092422782875,-73.36092422782875,-73.36092422782875,0.0,0.0,0.0,2824.5448333541103
19,2020-03-10,2945.635096681924,2685.8407275805134,2960.000871288469,2945.635096681924,2945.635096681924,-129.20261950481736,-129.20261950481736,-129.20261950481736,-50.974414377264374,-50.974414377264374,-50.974414377264374,-78.228205127553,-78.228205127553,-78.228205127553,0.0,0.0,0.0,2816.4324771771066
20,2020-03-11,2941.116298691386,2666.1139553378043,2951.8315885283814,2941.116298691386,2941.116298691386,-132.68110061012968,-132.68110061012968,-132.68110061012968,-50.57348363290605,-50.57348363290605,-50.57348363290605,-82.10761697722363,-82.10761697722363,-82.10761697722363,0.0,0.0,0.0,2808.435198081256
21,2020-03-12,2936.597500700848,2648.883894459123,2941.6298828719027,2936.597500700848,2936.597500700848,-136.98765143071685,-136.98765143071685,-136.98765143071685,-52.02812504297144,-52.02812504297144,-52.02812504297144,-84.95952638774541,-84.95952638774541,-84.95952638774541,0.0,0.0,0.0,2799.609849270131
22,2020-03-13,2932.0787027103097,2663.7669603516633,2936.6495919455674,2932.0787027103097,2932.0787027103097,-138.12632166879925,-138.12632166879925,-138.12632166879925,-51.3661401164277,-51.3661401164277,-51.3661401164277,-86.76018155237155,-86.76018155237155,-86.76018155237155,0.0,0.0,0.0,2793.9523810415103
23,2020-03-16,2918.5223087386953,2636.467914702908,2921.983352189446,2918.5223087386953,2918.5223087386953,-138.10318299019733,-138.10318299019733,-138.10318299019733,-52.248137090648285,-52.248137090648285,-52.248137090648285,-85.85504589954903,-85.85504589954903,-85.85504589954903,0.0,0.0,0.0,2780.419125748498
24,2020-03-17,2914.003510748157,2640.942666110377,2917.1567251345955,2914.003510748157,2914.003510748157,-134.50220661950914,-134.50220661950914,-134.50220661950914,-50.97441437728258,-50.97441437728258,-50.97441437728258,-83.52779224222658,-83.52779224222658,-83.52779224222658,0.0,0.0,0.0,2779.501304128648
25,2020-03-18,2909.484712757619,2641.276711516764,2921.4518090782362,2909.484712757619,2909.484712757619,-130.83550913894518,-130.83550913894518,-130.83550913894518,-50.573483632903645,-50.573483632903645,-50.573483632903645,-80.26202550604152,-80.26202550604152,-80.26202550604152,0.0,0.0,0.0,2778.6492036186737
26,2020-03-19,2904.965914767081,2642.4762355102844,2923.4720527013105,2904.965914767081,2904.965914767081,-128.14979854392772,-128.14979854392772,-128.14979854392772,-52.02812504294967,-52.02812504294967,-52.02812504294967,-76.12167350097805,-76.12167350097805,-76.12167350097805,0.0,0.0,0.0,2776.816116223153
27,2020-03-20,2900.4471167765428,2633.4937382047947,2927.4124798400926,2900.4471167765428,2900.4471167765428,-122.54793360272627,-122.54793360272627,-122.54793360272627,-51.36614011696608,-51.36614011696608,-51.36614011696608,-71.1817934857602,-71.1817934857602,-71.1817934857602,0.0,0.0,0.0,2777.8991831738167
28,2020-03-23,2886.8907228049284,2638.9486011351764,2920.3144409688916,2886.8907228049284,2886.8907228049284,-104.69867350776964,-104.69867350776964,-104.69867350776964,-52.24813709064556,-52.24813709064556,-52.24813709064556,-52.4505364171241,-52.4505364171241,-52.4505364171241,0.0,0.0,0.0,2782.1920492971585
29,2020-03-24,2882.3719248143902,2646.297341038744,2935.1600200667776,2882.3719248143902,2882.3719248143902,-96.2059483375952,-96.2059483375952,-96.2059483375952,-50.97441437716148,-50.97441437716148,-50.97441437716148,-45.23153396043373,-45.23153396043373,-45.23153396043373,0.0,0.0,0.0,2786.165976476795
30,2020-03-25,2877.853126823852,2646.6958520410853,2922.909666537545,2877.853126823852,2877.853126823852,-88.27339728100694,-88.27339728100694,-88.27339728100694,-50.573483632900725,-50.573483632900725,-50.573483632900725,-37.699913648106204,-37.699913648106204,-37.699913648106204,0.0,0.0,0.0,2789.579729542845
31,2020-03-26,2873.3343288333135,2657.9512288152896,2925.5649165182213,2873.3343288333135,2873.3343288333135,-81.99158199959567,-81.99158199959567,-81.99158199959567,-52.02812504307578,-52.02812504307578,-52.02812504307578,-29.963456956519884,-29.963456956519884,-29.963456956519884,0.0,0.0,0.0,2791.3427468337177
32,2020-03-27,2868.815530842776,2657.7766982894586,2942.1695645272034,2868.815530842776,2868.815530842776,-73.49556946797988,-73.49556946797988,-73.49556946797988,-51.36614011683928,-51.36614011683928,-51.36614011683928,-22.129429351140594,-22.129429351140594,-22.129429351140594,0.0,0.0,0.0,2795.319961374796
33,2020-03-30,2855.259136871161,2680.4137578240498,2936.7679869216895,2855.259136871161,2855.259136871161,-51.32217425609795,-51.32217425609795,-51.32217425609795,-52.248137090642835,-52.248137090642835,-52.248137090642835,0.9259628345448875,0.9259628345448875,0.9259628345448875,0.0,0.0,0.0,2803.936962615063
34,2020-03-31,2850.7403388806233,2666.044402177912,2944.1577745154477,2850.7403388806233,2850.7403388806233,-42.83289661556535,-42.83289661556535,-42.83289661556535,-50.97441437737566,-50.97441437737566,-50.97441437737566,8.141517761810308,8.141517761810308,8.141517761810308,0.0,0.0,0.0,2807.907442265058
35,2020-04-01,2846.2215408900847,2664.234272398012,2946.0547196994867,2846.2215408900847,2846.2215408900847,-35.59559458943868,-35.59559458943868,-35.59559458943868,-50.57348363290072,-50.57348363290072,-50.57348363290072,14.977889043462046,14.977889043462046,14.977889043462046,0.0,0.0,0.0,2810.625946300646
36,2020-04-02,2841.702742899547,2677.450102194707,2944.8987535614015,2841.702742899547,2841.702742899547,-30.668009509858567,-30.668009509858567,-30.668009509858567,-52.028125043054004,-52.028125043054004,-52.028125043054004,21.36011553319544,21.36011553319544,21.36011553319544,0.0,0.0,0.0,2811.0347333896884
37,2020-04-03,2837.1839449090085,2678.0345362768003,2948.9387610636454,2837.1839449090085,2837.1839449090085,-24.144034683989222,-24.144034683989222,-24.144034683989222,-51.36614011684335,-51.36614011684335,-51.36614011684335,27.222105432854125,27.222105432854125,27.222105432854125,0.0,0.0,0.0,2813.0399102250194
38,2020-04-06,2823.627550937394,2668.3016172017005,2959.1803996711433,2823.627550937394,2823.627550937394,-11.07929845338977,-11.07929845338977,-11.07929845338977,-52.2481370908959,-52.2481370908959,-52.2481370908959,41.168838637506134,41.168838637506134,41.168838637506134,0.0,0.0,0.0,2812.5482524840045
39,2020-04-07,2819.108752946856,2673.326231320829,2949.4159177024794,2819.108752946856,2819.108752946856,-6.492918512648571,-6.492918512648571,-6.492918512648571,-50.97441437732422,-50.97441437732422,-50.97441437732422,44.48149586467566,44.48149586467566,44.48149586467566,0.0,0.0,0.0,2812.6158344342075
40,2020-04-08,2814.5899549563183,2675.0341416521833,2952.5276428089055,2814.5899549563183,2814.5899549563183,-3.4842311892807785,-3.4842311892807785,-3.4842311892807785,-50.57348363290308,-50.57348363290308,-50.57348363290308,47.08925244362229,47.08925244362229,47.08925244362229,0.0,0.0,0.0,2811.1057237670375
41,2020-04-09,2818.5268053242294,2677.244394066516,2951.973434404312,2818.5268053242294,2818.5268053242294,-3.043553639916966,-3.043553639916966,-3.043553639916966,-52.02812504310617,-52.02812504310617,-52.02812504310617,48.98457140318921,48.98457140318921,48.98457140318921,0.0,0.0,0.0,2815.4832516843126
42,2020-04-13,2834.274206795876,2692.7848098680092,2962.289860461675,2834.274206795876,2834.274206795876,-2.646513038634796,-2.646513038634796,-2.646513038634796,-52.24813709089319,-52.24813709089319,-52.24813709089319,49.601624052258394,49.601624052258394,49.601624052258394,0.0,0.0,0.0,2831.627693757241
43,2020-04-14,2838.2110571637877,2704.0477294879306,2978.7991181884427,2838.2110571637877,2838.2110571637877,-2.8499070096722217,-2.8499070096722217,-2.8499070096722217,-50.9744143772728,-50.9744143772728,-50.9744143772728,48.12450736760057,48.12450736760057,48.12450736760057,0.0,0.0,0.0,2835.3611501541154
44,2020-04-15,2842.1479075316993,2689.9707354051507,2985.0715851197706,2842.1479075316993,2842.1479075316993,-4.510707429475332,-4.510707429475332,-4.510707429475332,-50.573483632903056,-50.573483632903056,-50.573483632903056,46.062776203427724,46.062776203427724,46.062776203427724,0.0,0.0,0.0,2837.637200102224
45,2020-04-16,2846.084757899611,2717.4808346572327,2980.0083947070425,2846.084757899611,2846.084757899611,-8.567759295117266,-8.567759295117266,-8.567759295117266,-52.02812504296373,-52.02812504296373,-52.02812504296373,43.46036574784647,43.46036574784647,43.46036574784647,0.0,0.0,0.0,2837.5169986044934
